self.env_online 0: <FrameStackPyTorch<ClipRewardEnv<WarpFramePyTorch<FireResetEnv<EpisodicLifeEnv<MaxAndSkipEnv<NoopResetEnv<TimeLimit<AtariEnv<PongNoFrameskip-v4>>>>>>>>>>
env online: None
Model Load done. PongNoFrameskip-v4
Start policy evaluation...
env online: <FrameStackPyTorch<ClipRewardEnv<WarpFramePyTorch<FireResetEnv<EpisodicLifeEnv<MaxAndSkipEnv<NoopResetEnv<TimeLimit<AtariEnv<PongNoFrameskip-v4>>>>>>>>>>
Episode: 1     episode steps: 1631  return: 21.0  return_online: 0.0  
Episode: 2     episode steps: 1631  return: 21.0  return_online: 0.0  
Episode: 3     episode steps: 1633  return: 21.0  return_online: 0.0  
Episode: 4     episode steps: 1598  return: 21.0  return_online: 0.0  
Episode: 5     episode steps: 1593  return: 21.0  return_online: 0.0  
Episode: 6     episode steps: 1599  return: 21.0  return_online: 0.0  
Episode: 7     episode steps: 1632  return: 21.0  return_online: 0.0  
Episode: 8     episode steps: 1600  return: 21.0  return_online: 0.0  
Episode: 9     episode steps: 1633  return: 21.0  return_online: 0.0  
Episode: 10    episode steps: 1629  return: 21.0  return_online: 0.0  
Episode: 11    episode steps: 1593  return: 21.0  return_online: 0.0  
Episode: 12    episode steps: 1595  return: 21.0  return_online: 0.0  
Episode: 13    episode steps: 1593  return: 21.0  return_online: 0.0  
Episode: 14    episode steps: 1604  return: 21.0  return_online: 0.0  
Episode: 15    episode steps: 1598  return: 21.0  return_online: 0.0  
Episode: 16    episode steps: 1628  return: 21.0  return_online: 0.0  
Episode: 17    episode steps: 1598  return: 21.0  return_online: 0.0  
Episode: 18    episode steps: 1629  return: 21.0  return_online: 0.0  
Episode: 19    episode steps: 1598  return: 21.0  return_online: 0.0  
Episode: 20    episode steps: 1630  return: 21.0  return_online: 0.0  
Episode: 21    episode steps: 1635  return: 21.0  return_online: 0.0  
Episode: 22    episode steps: 1596  return: 21.0  return_online: 0.0  
Episode: 23    episode steps: 1596  return: 21.0  return_online: 0.0  
Episode: 24    episode steps: 1631  return: 21.0  return_online: 0.0  
Episode: 25    episode steps: 1596  return: 21.0  return_online: 0.0  
Episode: 26    episode steps: 1630  return: 21.0  return_online: 0.0  
Episode: 27    episode steps: 1629  return: 21.0  return_online: 0.0  
Episode: 28    episode steps: 1634  return: 21.0  return_online: 0.0  
Episode: 29    episode steps: 1599  return: 21.0  return_online: 0.0  
Episode: 30    episode steps: 1602  return: 21.0  return_online: 0.0  
Episode: 31    episode steps: 1633  return: 21.0  return_online: 0.0  
Episode: 32    episode steps: 1601  return: 21.0  return_online: 0.0  
Episode: 33    episode steps: 1629  return: 21.0  return_online: 0.0  
Episode: 34    episode steps: 1598  return: 21.0  return_online: 0.0  
Episode: 35    episode steps: 1601  return: 21.0  return_online: 0.0  
Episode: 36    episode steps: 1598  return: 21.0  return_online: 0.0  
Episode: 37    episode steps: 1635  return: 21.0  return_online: 0.0  
Episode: 38    episode steps: 1598  return: 21.0  return_online: 0.0  
Episode: 39    episode steps: 1600  return: 21.0  return_online: 0.0  
Episode: 40    episode steps: 1598  return: 21.0  return_online: 0.0  
Episode: 41    episode steps: 1630  return: 21.0  return_online: 0.0  
Episode: 42    episode steps: 1630  return: 21.0  return_online: 0.0  
Episode: 43    episode steps: 1633  return: 21.0  return_online: 0.0  
Episode: 44    episode steps: 1597  return: 21.0  return_online: 0.0  
Episode: 45    episode steps: 1629  return: 21.0  return_online: 0.0  
Episode: 46    episode steps: 1633  return: 21.0  return_online: 0.0  
Episode: 47    episode steps: 1627  return: 21.0  return_online: 0.0  
Episode: 48    episode steps: 1630  return: 21.0  return_online: 0.0  
Episode: 49    episode steps: 1596  return: 21.0  return_online: 0.0  
Episode: 50    episode steps: 1600  return: 21.0  return_online: 0.0  
Episode: 51    episode steps: 1629  return: 21.0  return_online: 0.0  
Episode: 52    episode steps: 1631  return: 21.0  return_online: 0.0  
Episode: 53    episode steps: 1632  return: 21.0  return_online: 0.0  
Episode: 54    episode steps: 1629  return: 21.0  return_online: 0.0  
Episode: 55    episode steps: 1594  return: 21.0  return_online: 0.0  
Episode: 56    episode steps: 1604  return: 21.0  return_online: 0.0  
Episode: 57    episode steps: 1602  return: 21.0  return_online: 0.0  
Episode: 58    episode steps: 1601  return: 21.0  return_online: 0.0  
Episode: 59    episode steps: 1632  return: 21.0  return_online: 0.0  
Episode: 60    episode steps: 1634  return: 21.0  return_online: 0.0  
Episode: 61    episode steps: 1593  return: 21.0  return_online: 0.0  
sample period is done: 100001 samples
Online Q: -0.01676742546260357 , fixed Q: 1.4753899574279785
Online Q: -0.017198842018842697 , fixed Q: 1.3843069076538086
Online Q: -0.00842742994427681 , fixed Q: 1.4509646892547607
Online Q: -0.020281262695789337 , fixed Q: 1.3836984634399414
Online Q: -0.016614414751529694 , fixed Q: 1.477367877960205
Online Q: -0.02439660206437111 , fixed Q: 1.472100019454956
Online Q: -0.015905365347862244 , fixed Q: 1.4112882614135742
Online Q: -0.007718350738286972 , fixed Q: 1.410218596458435
Online Q: -0.019828494638204575 , fixed Q: 1.5148348808288574
Online Q: -0.006029102951288223 , fixed Q: 1.460533618927002
Online Q: -0.012533042579889297 , fixed Q: 1.541630744934082
Online Q: -0.017446529120206833 , fixed Q: 1.5380018949508667
Online Q: -0.013525154441595078 , fixed Q: 1.5237466096878052
Online Q: -0.003880423493683338 , fixed Q: 1.3852250576019287
Online Q: -0.007859673351049423 , fixed Q: 1.4400608539581299
Online Q: -0.023625455796718597 , fixed Q: 1.5838704109191895
Online Q: -0.021569419652223587 , fixed Q: 1.5332930088043213
Online Q: -0.015006099827587605 , fixed Q: 1.4580879211425781
Online Q: -0.020818093791604042 , fixed Q: 1.4455699920654297
Online Q: -0.018276076763868332 , fixed Q: 1.3938137292861938
Online Q: -0.012707047164440155 , fixed Q: 1.4348833560943604
Online Q: -0.007551352493464947 , fixed Q: 1.4891939163208008
Online Q: -0.019223608076572418 , fixed Q: 1.436810851097107
Online Q: 0.013128157705068588 , fixed Q: 1.4567265510559082
Online Q: -0.020230861380696297 , fixed Q: 1.418285608291626
Online Q: -0.018245715647935867 , fixed Q: 1.436845064163208
Online Q: -0.015603726729750633 , fixed Q: 1.4697556495666504
Online Q: -0.019988100975751877 , fixed Q: 1.4750899076461792
Online Q: -0.009366662241518497 , fixed Q: 1.394803524017334
Online Q: -0.006847708486020565 , fixed Q: 1.5039472579956055
Online Q: -0.01634190045297146 , fixed Q: 1.4977751970291138
Online Q: -0.011088808998465538 , fixed Q: 1.4395155906677246
Online Q: -0.01475418359041214 , fixed Q: 1.371577501296997
Online Q: -0.017353951930999756 , fixed Q: 1.4129648208618164
Online Q: -0.011159177869558334 , fixed Q: 1.4961295127868652
Online Q: -0.005354741588234901 , fixed Q: 1.4844015836715698
Online Q: -0.0022216986399143934 , fixed Q: 1.5046942234039307
Online Q: -0.021928835660219193 , fixed Q: 1.4473401308059692
Online Q: -0.013072783127427101 , fixed Q: 1.4900670051574707
Online Q: -0.013287713751196861 , fixed Q: 1.4270964860916138
Online Q: -0.01781775802373886 , fixed Q: 1.442939281463623
Online Q: -0.008762509562075138 , fixed Q: 1.5496506690979004
Online Q: -0.026191934943199158 , fixed Q: 1.4227038621902466
Online Q: -0.01577867567539215 , fixed Q: 1.3922317028045654
Online Q: -0.024142775684595108 , fixed Q: 1.4408036470413208
Online Q: -0.014588981866836548 , fixed Q: 1.469967246055603
Online Q: -0.011323700658977032 , fixed Q: 1.4991296529769897
Online Q: -0.01267248298972845 , fixed Q: 1.4113328456878662
Online Q: -0.01879896968603134 , fixed Q: 1.5860137939453125
Online Q: -0.00498599000275135 , fixed Q: 1.4457560777664185
start evaluate
------------------------------------------------------------
Num steps: 105000  return: -21.0
------------------------------------------------------------
Online Q: -0.025313064455986023 , fixed Q: 1.5206882953643799
Online Q: -0.02094445750117302 , fixed Q: 1.379908561706543
Online Q: -0.017563778907060623 , fixed Q: 1.4498956203460693
Online Q: -0.021255701780319214 , fixed Q: 1.4899277687072754
Online Q: -0.015761233866214752 , fixed Q: 1.571277141571045
Online Q: -0.02748914062976837 , fixed Q: 1.3697280883789062
Online Q: -0.006795187946408987 , fixed Q: 1.452210783958435
Online Q: -0.022111831232905388 , fixed Q: 1.466977834701538
Online Q: -0.004568844567984343 , fixed Q: 1.5507326126098633
Online Q: -0.02056104503571987 , fixed Q: 1.5152416229248047
Online Q: -0.0036312267184257507 , fixed Q: 1.4472726583480835
Online Q: -0.007410020567476749 , fixed Q: 1.4667105674743652
Online Q: -0.01941830664873123 , fixed Q: 1.606048583984375
Online Q: -0.005764833185821772 , fixed Q: 1.479759931564331
Online Q: -0.014255749061703682 , fixed Q: 1.4631776809692383
Online Q: -0.013897307217121124 , fixed Q: 1.5295417308807373
Online Q: -0.02180425450205803 , fixed Q: 1.5130107402801514
Online Q: -0.022376786917448044 , fixed Q: 1.4445921182632446
Online Q: -0.011919052340090275 , fixed Q: 1.476131558418274
Online Q: -0.005999206565320492 , fixed Q: 1.5230388641357422
Online Q: -0.007649608887732029 , fixed Q: 1.4880982637405396
Online Q: -0.008909468539059162 , fixed Q: 1.4615263938903809
